sample,real,imag
0,1.00000000,0.00000000
1,-0.10568197,0.99439996
2,-0.97766262,-0.21018031
3,0.31232461,-0.94997543
4,0.91164845,0.41097087
5,-0.50501424,0.86311102
6,-0.80490667,-0.59340143
7,0.67514247,-0.73768735
8,0.66220587,0.74932194
9,-0.81510895,0.57930768
10,-0.48992124,-0.87176669
11,0.91866064,-0.39504763
12,0.29574949,0.95526552
13,-0.98117143,0.19313894
14,-0.08836522,-0.99608815
15,0.99984866,0.01739820
16,-0.12296675,0.99241078
17,-0.97385788,-0.22715807
18,0.32880521,-0.94439775
19,0.90436035,0.42676973
20,-0.51995438,0.85419405
21,-0.79446071,-0.60731554
22,0.68787473,-0.72582942
23,0.64906877,0.76072973
24,-0.82506448,0.56503856
25,-0.47467986,-0.88015854
26,0.92539471,-0.37900475
27,0.27908477,0.96026647
28,-0.98438317,0.17603903
29,-0.07102164,-0.99747479
30,0.99939460,0.03479120
31,-0.14021437,0.99012119
32,-0.96975833,-0.24406713
33,0.34518635,-0.93853414
34,0.89679837,0.44243944
35,-0.53473723,0.84501839
36,-0.78377420,-0.62104589
37,0.70039886,-0.71375167
38,0.63573509,0.77190727
39,-0.83477032,0.55059826
40,-0.45929474,-0.88828391
41,0.93184870,-0.36284706
42,0.26233551,0.96497673
43,-0.98729700,0.15888575
44,-0.05365648,-0.99855947
45,0.99863803,0.05217374
46,-0.15741962,0.98753178
47,-0.96536517,-0.26090240
48,0.36146304,-0.93238646
49,0.88896489,0.45797530
50,-0.54935819,0.83558697
51,-0.77285039,-0.63458830
52,0.71271098,-0.70145786
53,0.62220895,0.78285122
54,-0.84422350,0.53599131
55,-0.44377050,-0.89614046
56,0.93802059,-0.34657946
57,0.24550673,0.96939486
58,-0.98991191,0.14168431
59,-0.03627500,-0.99934185
60,0.99757910,0.06954058
61,-0.17457730,0.98464346
62,-0.96067977,-0.27765876
63,0.37763041,-0.92595643
64,0.88086230,0.47337258
65,-0.56381297,0.82590252
66,-0.76169252,-0.64793861
67,0.72480738,-0.68895161
68,0.60849434,0.79355818
69,-0.85342115,0.52122194
70,-0.42811185,-0.90372574
71,0.94390857,-0.33020687
72,0.22860357,0.97351962
73,-0.99222714,0.12443989
74,-0.01888247,-0.99982172
75,0.99621820,0.08688643
76,-0.19168219,0.98145705
77,-0.95570350,-0.29433110
78,0.39368352,-0.91924602
79,0.87249297,0.48862663
80,-0.57809711,0.81596798
81,-0.75030404,-0.66109288
82,0.73668438,-0.67623675
83,0.59459549,0.80402499
84,-0.86236048,0.50629479
85,-0.41232353,-0.91103750
86,0.94951081,-0.31373426
87,0.21163113,0.97734964
88,-0.99424201,0.10715772
89,-0.00148415,-0.99999893
90,0.99455571,0.10420606
91,-0.20872913,0.97797346
92,-0.95043790,-0.31091446
93,0.40961751,-0.91225737
94,0.86385947,0.50373280
95,-0.59220630,0.80578637
96,-0.73868841,-0.67404705
97,0.74833846,-0.66331708
98,0.58051658,0.81424844
99,-0.87103879,0.49121428
100,-0.39641032,-0.91807342
101,0.95482564,-0.29716659
102,0.19459455,0.98088378
103,-0.99595594,0.08984304
104,0.01591470,-0.99987334
105,0.99259216,0.12149420
106,-0.22571297,0.97419387
107,-0.94488454,-0.32740372
108,0.42542756,-0.90499246
109,0.85496444,0.51868659
110,-0.60613626,0.79536080
111,-0.72684908,-0.68679726
112,0.75976604,-0.65019655
113,0.56626183,0.82422543
114,-0.87945342,0.47598496
115,-0.38037705,-0.92483151
116,0.95985144,-0.28050888
117,0.17749898,0.98412097
118,-0.99736834,0.07250109
119,0.03330881,-0.99944508
120,0.99032807,0.13874565
121,-0.24262854,0.97011924
122,-0.93904513,-0.34379396
123,0.44110888,-0.89745361
124,0.84581053,0.53348339
